business_name,main_topic,mention_count,pct_negative,avg_urgency_score,actionable_count,priority_score,title,description,evidence,recommendation
Wegmans Chesapeake VA,Price & Value for Money,27,48.1,1.07,25,13.9,"Price perception: Competitive overall, but prepared foods are costly","While overall grocery prices are seen as competitive, customers find prepared foods and specialty items like gluten-free options to be expensive. This creates a mixed perception of value for money.","""The prepared foods are pretty expensive, but they look good."" — 48.1% negative mentions",Review pricing strategy for prepared foods and consider offering value bundles or promotions on specialty items to improve perceived value.
Wegmans Hanover NJ,Price & Value for Money,25,36.0,1.04,24,9.36,Price Perception: Mixed but Generally Positive,"While some customers find certain items pricey, the overall sentiment leans towards good value, especially for fresh produce. Promotions and deals are also noted as a positive factor.","""Unbelievable foods... a little pricey, but we'll worth it."" - 36% negative mentions",Highlight value on high-quality items and consider targeted promotions for perceived high-cost categories.
Wegmans Hanover NJ,Product Variety & Availability,47,10.6,1.09,46,5.43,"Excellent variety, but some specific item availability issues","Customers overwhelmingly praise the extensive selection across various departments, especially prepared foods and specialty items. However, a small but notable portion of feedback indicates disappointment with the availability of specific, common snack flavors.","""disappointed with the snack selection — they didn’t have the most common chips flavors like sour cream and onion"" — 47 mentions (10.6% negative)",Review inventory for high-demand snack items and ensure consistent stocking of popular flavors to address specific availability gaps.
Wegmans Chesapeake VA,Staff & Customer Service,22,18.2,1.23,21,4.92,Staff attentiveness and friendliness are key drivers of positive experiences,"The majority of feedback highlights staff's positive attributes, including friendliness, attentiveness, and willingness to help. This contributes significantly to customer satisfaction and makes shoppers feel valued.","""The staff are excellent and a highlight of the business."" — 22 mentions (18.2% negative)","Continue to recognize and reward staff for exceptional customer service, and address any isolated negative interactions promptly."
Wegmans Chesapeake VA,Product Quality & Freshness,33,12.1,1.12,33,4.47,Inconsistent Produce and Bakery Freshness,"Customers report concerns about the quality and freshness of produce, with some questioning its authenticity. Bakery items, like croissants, are also noted as being stale despite a future sell-by date.","""The croissant I ate was just on the edge of being too stale to eat. I checked the box and they had a sell by date of 5/6/26."" - 33 mentions (12.1% negative)","Implement stricter quality control for produce and bakery items, and investigate supply chain issues affecting fresh meat and seafood availability."
Wegmans Chesapeake VA,Checkout & Waiting Time,2,100.0,2.0,2,4.0,Checkout speed and bagging process cause customer frustration,"Customers are experiencing frustration with the checkout process, citing both the speed of service and the bagging procedure. The limited number of open registers exacerbates these issues, leading to negative experiences.","""Two registers open right now..."" - 2 mentions (100% negative)",Increase the number of open registers during busy periods and evaluate the efficiency of the bagging process to improve customer flow.
Wegmans Hanover NJ,Staff & Customer Service,28,10.7,1.14,28,3.42,Positive customer service interactions highlight staff expertise,"While most feedback on staff and customer service is positive, a small percentage of negative experiences are noted. Customers frequently praise staff for their food knowledge and friendly demeanor, particularly in specialized departments.","""The people who work here understand food."" — 28 mentions (10.7% negative)","Continue recognizing and rewarding staff who demonstrate exceptional product knowledge and customer engagement, especially in departments like cheese and floral."
Wegmans Chesapeake VA,Prepared Food & In-Store Dining,28,10.7,1.07,25,3.21,Inconsistent Prepared Food Availability,"Customers frequently express disappointment with the availability of prepared food options, particularly the Asian bar and wing bar. This inconsistency impacts the perceived value and convenience of in-store dining.","""the Asian bar hasn't been open the last several times I have gone"" — 10.7% negative mentions","Ensure consistent staffing and stock for key prepared food stations like the Asian bar and wing bar, especially during peak demand periods."
Wegmans Hanover NJ,Prepared Food & In-Store Dining,19,15.8,1.0,18,3.0,In-store dining area is a strong draw for customers,"The spacious dining area is a significant asset, allowing customers to enjoy prepared foods and beverages. This feature is appreciated for convenience and social gatherings, enhancing the overall shopping experience.","""Wegmans also has the largest dining/seating area of any market I’ve been to where you can purchase food, beverages, get a hot cup of coffee or cappuccino and sit down to enjoy it."" — 19 mentions",Continue to highlight the dining area in marketing and ensure consistent quality of prepared food offerings to maximize customer satisfaction.
Wegmans Hanover NJ,Store Layout & Shopping Experience,8,25.0,1.25,7,2.5,Inconsistent Access to Beer Section Irritates Customers,"While many customers praise the store's layout and overall shopping experience, a specific issue arises with the beer section's operating hours. This inconvenience impacts customers seeking even non-alcoholic beverages after hours.","""the beer section was already closed when I came around 11 p.m."" — 8 mentions (25% negative)",Review beer section closing times or explore options for making non-alcoholic beverages accessible outside of alcohol sales hours.
