business_name,main_topic,mention_count,pct_negative,avg_urgency_score,actionable_count,priority_score,title,description,evidence,recommendation
MRE Estilistas Nueva Cordoba Peluquería,Price & Value,17,100.0,2.12,17,36.04,Precios elevados y falta de transparencia en promociones,"Los clientes expresan insatisfacción con los precios, considerándolos elevados y con falta de transparencia. Las promociones anunciadas no siempre se aplican como se espera, y los costos adicionales no se comunican claramente al inicio del servicio.","""Me habían dicho que la decoloración salía $80.000 la promo y me terminaron cobrando $200.000"" — 17 menciones (100% negativas)","Comunicar claramente todos los costos asociados al servicio, incluyendo extras como secado o tratamientos obligatorios, antes de iniciar el procedimiento. Detallar las condiciones de las promociones."
MRE Estilistas Nueva Cordoba Peluquería,Appointments & Punctuality,13,92.3,2.38,13,28.56,Problemas con la puntualidad y la comunicación de turnos,"La impuntualidad en los turnos es el principal problema, afectando al 92.3% de las menciones. Los clientes expresan frustración por esperas prolongadas y la falta de información clara sobre los servicios incluidos y métodos de pago.","""ser más puntuales con los turnos tenia turno a las 15:00 y son 15:50hs y aún no me atendieron"" — 13 menciones (92.3% negativas)",Establecer un sistema de recordatorios automáticos para clientes y estilistas. Implementar un protocolo de comunicación clara sobre servicios y pagos al momento de reservar.
MRE Estilistas Nueva Cordoba Peluquería,Color & Chemical Treatments,18,55.6,2.06,17,20.62,Resultados de color inconsistentes y daño capilar,"Más de la mitad de las menciones sobre tratamientos de color y químicos son negativas, indicando insatisfacción con el tono obtenido y, en algunos casos, daño al cabello. Los clientes expresan que el resultado no coincide con lo solicitado y que el estilista no realizó pruebas de mecha.","""a mi mamá le quemaron todo el pelo y al tiempo se le empezó a caer a montones. Yo pedí un rubio ceniza y salí con el pelo amarillo. Un desastre"" — 55.6% negativas",Establecer un protocolo de prueba de mecha obligatorio para todos los servicios de coloración. Documentar el resultado de la prueba y obtener la aprobación explícita del cliente antes de proceder.
MRE Estilistas Nueva Cordoba Peluquería,Stylists & Staff,89,16.9,1.34,86,20.15,Mala atención y maltrato del personal,"La atención al cliente y el trato del personal son un problema recurrente, con un 16.9% de menciones negativas. Las clientas reportan tirones de pelo, falta de respeto y mala predisposición, afectando la experiencia general.","""no me gustó la atecion estoy con alopecia y me tironeaban el pelo re fuerte."" — 16.9% de menciones negativas","Capacitar al personal en atención al cliente, empatía y técnicas de manipulación delicada del cabello, especialmente con clientas con condiciones como alopecia."
MRE Estilistas Nueva Cordoba Peluquería,Cleanliness & Hygiene,4,100.0,3.0,4,12.0,La limpieza y la higiene son un problema crítico,"La falta de limpieza y la higiene deficiente son un problema recurrente, afectando negativamente la experiencia del cliente. Las reseñas indican problemas con toallas sucias, manchas en la ropa y suciedad general en el local.","""Una mugre abuso.... Cajones llenos de pelos. Bachas sucias."" — 4 menciones (100% negativas)","Establecer protocolos de limpieza diarios y exhaustivos para todas las áreas, incluyendo toallas, estaciones de trabajo y baños. Capacitar al personal en higiene personal y manejo de materiales."
MRE Estilistas Nueva Cordoba Peluquería,Haircut & Styling,18,33.3,1.61,17,9.65,Cortes y peinados insatisfactorios: un problema recurrente,"Un tercio de las menciones sobre cortes y peinados son negativas, indicando que los estilistas no siguen las indicaciones del cliente o realizan el trabajo de forma descuidada. Esto genera insatisfacción y quejas sobre el resultado final y la experiencia.","""Cortan mal el cabello, hacen lo que quieren y despues dicen que esta sujeto al diagnóstico del estilista, arruinaron mis rulos y me hicieron un corte que no pedí, horrible y unas capas asquerosas."" —",Establecer protocolos claros de consulta y confirmación del corte/estilo con el cliente antes de iniciar. Capacitar al personal en técnicas delicadas y atención al detalle.
MRE Estilistas Nueva Cordoba Peluquería,Final Results,17,29.4,1.53,16,7.65,Resultados insatisfactorios y falta de compensación,"Casi un tercio de las menciones sobre los resultados finales son negativas, indicando insatisfacción con el trabajo realizado y la falta de compensación por esperas o resultados deficientes. Los clientes expresan frustración por trabajos desprolijos y que no cumplen las expectativas.","""El trabajo que si se llevó a cabo resultó deficiente, desprolijo y alejado de lo acordado"" — 17 menciones (29.4% negativas)","Establecer un protocolo de revisión post-servicio con el cliente para asegurar la conformidad. Ofrecer compensaciones (descuentos, retoques) ante resultados insatisfactorios o esperas prolongadas."
MADE,Appointments & Punctuality,9,44.4,1.67,8,6.67,Problemas con la gestión de turnos y horarios,"El 44.4% de las menciones sobre citas y puntualidad son negativas, indicando cancelaciones de último minuto, horarios de cierre no respetados y dificultades para conseguir turnos. Esto genera frustración y desconfianza en el servicio.","""conseguir un turno es durisimo y cuando te lo dan LO CANCELAN EL DÍA ANTERIOR."" — 9 menciones (44.4% negativas)",Revisar la asignación de turnos y la comunicación de horarios. Implementar un sistema de confirmación de citas 24h antes y asegurar el cumplimiento de los horarios de apertura/cierre.
MADE,Stylists & Staff,54,9.3,1.15,45,5.78,"Fran, el estilista estrella: atención y profesionalismo destacados","Fran recibe elogios constantes por su habilidad para entender y ejecutar los deseos de las clientas, además de su atención personalizada. El equipo en general es percibido como profesional y atento a las necesidades del cabello.","""Fran el peluquero un amor, cumplió con todo lo que le pedí!!!"" — 54 menciones (9.3% negativas)",Reconocer y potenciar la labor de Fran. Considerar replicar su enfoque de diagnóstico y explicación detallada en todo el equipo.
MADE,Price & Value,8,37.5,1.38,6,4.14,Percepción de alto precio y bajo valor en tratamientos,"Un 37.5% de las menciones sobre precio y valor son negativas, indicando que los clientes perciben que los tratamientos son caros y no duran lo prometido. Esto genera insatisfacción y la sensación de no recibir un buen retorno de la inversión.","""Me hice un alisado que me salió $80.000... Un mes después tenía el pelo peor que antes"" — 37.5% negativas",Establecer precios fijos y claros para tratamientos. Ofrecer garantías explícitas y un seguimiento post-servicio para asegurar la satisfacción del cliente.
