business_name,main_topic,mention_count,pct_negative,avg_urgency_score,actionable_count,priority_score,title,description,evidence,recommendation
El Mesón de Gauss,Food Quality,22,45.5,1.27,22,12.71,Calidad de la comida: áreas de mejora identificadas,"El 45.5% de las menciones sobre la calidad de la comida son negativas. Los clientes señalan problemas con la textura, temperatura y frescura de los ingredientes.","""mi hija toma un sorbo del cafe y se saca de la boca una mosca muerta!!!!! Q asco"" — 22 menciones (45.5% negativas)","Revisar la frescura de los ingredientes, la temperatura de servicio y la preparación de platos como wraps y ensaladas."
El Mesón de Gauss,Service Speed,7,85.7,1.86,7,11.16,Demoras en el servicio y errores en pedidos,"Los clientes experimentan demoras significativas en la entrega de platos y errores en los pedidos, lo que genera frustración. El 85.7% de las menciones sobre la velocidad del servicio son negativas.","""se olvidaron de comandar el pedido, por lo cual estuvimos 1h esperando el almuerzo"" — 7 menciones (85.7% negativas)",Implementar un sistema de doble verificación de pedidos y capacitar al personal en gestión de tiempos de espera.
IDA Restaurant Bar,Staff Attitude,32,25.0,1.38,32,11.04,Actitud del personal: inconsistencia en la experiencia,"Aunque un 75% de las menciones sobre el personal son positivas, un 25% de los clientes reportan actitudes poco profesionales o desatentas, afectando la experiencia general.","""nos empaparon con el jugo de la cocción. Nadie se acercó a pedir disculpas ni a ofrecer una solución."" — 25% menciones negativas",Implementar capacitación continua en servicio al cliente y protocolos de manejo de incidentes para todo el personal.
IDA Restaurant Bar,Service Speed,6,83.3,1.83,6,9.15,Demoras en el servicio: el problema más frecuente,El servicio lento aparece en 6 de cada 10 reseñas negativas. Los clientes reportan esperas excesivas incluso en horarios de baja ocupación.,"""ni hablar de la demora!!!!!!, servían platos más elaborados a mesas que llegaron mucho después que nosotras"" — 6 menciones (83.3% negativas)","Revisar la asignación de mesas y la priorización de pedidos para agilizar el servicio, especialmente en horas pico."
El Mesón de Gauss,Staff Attitude,12,41.7,1.67,12,8.36,Actitud del personal: inconsistencia en la atención,"La actitud del personal genera opiniones divididas, con un 41.7% de menciones negativas. Si bien algunos clientes destacan la amabilidad y agilidad, otros reportan falta de atención y desinterés.","""La moza nos dijo que ya lo arreglaba y nunca más apareció, no nos trajeron más pan ni nada"" — 12 menciones (41.7% negativas)","Implementar capacitación continua en atención al cliente para todo el personal, enfocándose en la resolución de problemas y seguimiento de solicitudes."
IDA Restaurant Bar,Price / Value,5,80.0,1.8,5,7.2,Relación precio-calidad: percepción de valor insuficiente,"El 80% de las menciones sobre precio/valor son negativas, indicando que los clientes sienten que no reciben un valor adecuado por lo que pagan. Esto se relaciona con la percepción de un servicio que no justifica los costos.","""gastarse 100.000 en una salida para no ser bien atendido es un desprecio a tu plata"" — 5 menciones (80% negativas)",Revisar la estructura de precios y la calidad del servicio para asegurar que la experiencia del cliente justifique el costo.
IDA Restaurant Bar,Menu & Options,5,100.0,1.2,5,6.0,Opciones de menú limitadas y confusas,"Los clientes expresan frustración por la falta de variedad, especialmente en opciones vegetarianas y veganas. La carta se percibe reducida y confusa, con restricciones no anunciadas.","""Acotaron mucho la carta, y encima lo que pedíamos no tenían. Casi nada de variedad en platos vegetarianos, cuando antes si."" — 5 menciones (100% negativas)","Ampliar la oferta vegetariana/vegana y revisar la comunicación de la carta, especialmente las restricciones de disponibilidad."
Vittorio Ristorante,Service Speed,4,75.0,2.0,4,6.0,Lentitud en el servicio afecta la experiencia del cliente,"La velocidad del servicio es un punto débil recurrente, afectando negativamente la experiencia de 3 de cada 4 clientes que mencionan el tema. Las demoras son significativas, incluso para la entrega de entradas.","""Un solo mozo para toda una galeria. Hace perder la experiencia."" — 4 menciones (75% negativas)",Evaluar la asignación de personal por sector y optimizar los tiempos de preparación de los antipastos.
El Mesón de Gauss,Price / Value,8,50.0,1.25,7,5.0,Percepción de valor: precios elevados para la calidad ofrecida,La mitad de las menciones sobre precios expresan insatisfacción con la relación calidad-precio. Los clientes consideran que los montos cobrados no se corresponden con la calidad de los productos o la experiencia general.,"""No te pueden ofrecer un desayuno completo por 9 mil pesos c/u , con esta calidad de panificacion, con dulce y manteca descartable."" — 8 menciones (50% negativas)","Revisar la estructura de costos y la calidad de los insumos para desayunos, o ajustar los precios para reflejar mejor el valor percibido."
IDA Restaurant Bar,Food Quality,37,10.8,1.14,37,4.56,Calidad de la comida: mayormente positiva con incidencias aisladas,"La mayoría de los clientes elogian la comida, destacando la alta gastronomía y sabores equilibrados. Sin embargo, un pequeño porcentaje reporta problemas puntuales con la frescura de los ingredientes.","""me sirvieron su guarnición de boniato literalmente podrido, con gusto a tierra que provocaba náuseas al masticar"" — 10.8% menciones negativas","Implementar controles de calidad más rigurosos en la recepción y preparación de ingredientes frescos, especialmente para guarniciones."
