business_name,main_topic,mention_count,pct_negative,avg_urgency_score,actionable_count,priority_score,title,description,evidence,recommendation
SportClub - Mendiolaza,Staff & Trainers,26,46.2,1.58,22,18.98,Calidad variable del personal y entrenadores,"La atención del personal y los entrenadores es inconsistente, con experiencias muy positivas de algunos profesionales contrastando con quejas sobre falta de atención y profesionalismo en otros horarios. Esto afecta la percepción general del servicio.","""La atención deja mucho que desear y depende mucho del horario, a la tarde noche no te dan ni bola las profes"" — 26 menciones (46.2% negativas)",Establecer protocolos de atención estandarizados y evaluar el desempeño del personal por horario para asegurar una experiencia positiva constante.
SportClub Gauss,Cleanliness & Hygiene,7,100.0,2.71,7,18.97,Calor insoportable y mala ventilación: un problema crítico,"El calor extremo y la falta de ventilación adecuada son las principales quejas de los socios, afectando la experiencia de entrenamiento. La ausencia de un sistema de aire acondicionado eficiente y la mala calidad del aire son puntos recurrentes.","""Increíble que un gimnasio de estas características, en la zona en la que esta, no tenga un buen sistema de AC para el verano… te infartas del calor que hace!!!"" — 7 menciones (100% negativas)",Instalar un sistema de aire acondicionado centralizado y mejorar la ventilación para garantizar una temperatura y calidad de aire óptimas.
Zoom Fitness Center (sede Villa Allende),Group Classes,11,81.8,1.91,11,17.19,Clases grupales: cancelaciones y falta de profesores frustran a los socios,"El 81.8% de las menciones sobre clases grupales son negativas, destacando cancelaciones frecuentes y falta de profesores de reemplazo. Los socios expresan frustración por la inconsistencia en la oferta horaria y la pérdida de sus clases favoritas.","""cada vez hay menos horarios de actividades que no sean musculación y, encima, los días que hay (lunes, miércoles y viernes, por ejemplo) se cancelan constantemente y no se buscan reemplazos."" — 11 me",Establecer un protocolo de contingencia para reemplazo de profesores y comunicar proactivamente cualquier cambio o cancelación de clases grupales.
SportClub Gauss,Equipment & Machines,14,57.1,2.07,14,16.55,Problemas de mantenimiento y confort en equipos y climatización,"Los socios reportan equipos rotos y falta de mantenimiento, especialmente en cintas de correr y bicicletas. Además, la climatización es deficiente, con aires acondicionados rotos y ventiladores insuficientes, afectando la experiencia de entrenamiento.","""hace 6 meses que tienen una cinta para correr rota, se ve que no quieren poner un peso mas en el gym"" — 14 menciones (57.1% negativas)","Establecer un plan de mantenimiento preventivo para equipos y climatización, priorizando la reparación de cintas y aires acondicionados."
SportClub - Mendiolaza,Crowd & Availability,12,75.0,1.83,12,16.47,Sobresaturación de socios: falta de equipamiento y gestión de turnos,"El 75% de las menciones sobre la concurrencia indican que el gimnasio está sobresaturado, especialmente en horarios pico. Los socios señalan la falta de equipamiento y la necesidad de un mejor sistema de gestión de turnos para aliviar la congestión.","""los cupos están sobre vendidos, hay hasta 6 adolescentes por máquina en horario pico."" — 12 menciones (75% negativas)",Evaluar la capacidad actual del equipamiento y considerar la implementación de un sistema de reservas o turnos para los equipos más demandados en horarios pico.
SportClub - Mendiolaza,Cleanliness & Hygiene,10,70.0,2.3,10,16.1,Problemas de higiene y baños inundados afectan la experiencia,"La falta de solución a las inundaciones recurrentes en los baños y la ausencia de elementos de higiene para las colchonetas generan un ambiente insalubre. Los socios expresan su descontento con la situación, especialmente considerando el costo de la membresía.","""hace meses que se inundó y todavía no solucionan. Habilitaron los baños después de varias semanas de baños químicos y ahora de nuevo inundado."" — 10 menciones (70% negativas)",Priorizar la reparación definitiva de las inundaciones en los baños y proveer dispensadores de alcohol y trapos para la limpieza de colchonetas.
SportClub - Mendiolaza,Price & Membership,8,100.0,2.0,7,16.0,Precios y membresías: socios perciben cobros injustos y alto costo,"El 100% de las menciones sobre precios y membresías son negativas, destacando cobros indebidos tras solicitudes de baja y un costo elevado en relación a las instalaciones. Los socios se sienten estafados y consideran que el valor no justifica la calidad.","""Pedi la baja y me dijeron que estaba lista y el debito automatico desactivado. Aun asi me cobraron el mes siguiente alegando que la baja demora 30 dias, cuando me di el alta demoraron 5 minutos. De d","Revisar y simplificar el proceso de baja de membresía, asegurando que los cobros cesen inmediatamente tras la solicitud. Comunicar claramente las políticas de cancelación."
Zoom Fitness Center (sede Villa Allende),Equipment & Machines,21,47.6,1.57,20,15.69,Equipamiento: Necesidades de mejora y quejas recurrentes,"El 47.6% de las menciones sobre equipamiento son negativas, destacando la falta de elementos básicos y la necesidad de mancuernas más pesadas. Los socios solicitan activamente la reposición de bandas elásticas y bandas anchas para dominadas.","""Nesecito bandas anchas !!!!! Para dominadas hace un mes q las pedimos !!!!!!"" — 21 menciones (47.6% negativas)","Evaluar la compra de mancuernas de mayor peso y adquirir bandas elásticas y anchas para dominadas, priorizando las solicitudes recurrentes de los socios."
SportClub Gauss,Price & Membership,8,87.5,2.12,8,14.84,Cobros indebidos y falta de responsabilidad en membresías,"El 87.5% de las menciones sobre precios y membresías son negativas, destacando cobros duplicados y errores en la facturación. Los socios expresan frustración por la falta de soluciones y responsabilidad ante estos problemas.","""Me cobraron dos veces la mensualidad por un error de ellos, aun cuando yo ya había solicitado la baja."" — 8 menciones (87.5% negativas)","Establecer un protocolo claro para la gestión de errores de facturación, con un tiempo máximo de resolución de 48 horas y compensación para el socio."
SportClub - Mendiolaza,Locker Rooms & Amenities,7,85.7,2.14,7,12.84,"Mejoras urgentes en vestuarios: ventilación, WiFi y reparaciones","Los socios expresan insatisfacción con la falta de ventilación en las duchas, la ausencia de WiFi y baños rotos. Estas deficiencias afectan negativamente la experiencia general, a pesar de que algunos mencionan buena circulación de aire.","""El baño está roto hace 2 meses, hace calor tremendo"" — 7 menciones (85.7% negativas)","Instalar ventiladores en duchas, ofrecer WiFi gratuito y priorizar la reparación inmediata de baños y otras infraestructuras."
